"Naam";"Beschrijving";"Initiële waarde"
"Rails2RailwayCenterLine_CSVFile_Delimiter";"Delimiter gebruikt voor het schrijven van CSV bestand.";""
"Rails2RailwayCenterLine_Draw2DPolyline_CenterLine";"Teken een 2D polylijn voor de berekende spooras, deze lijn kan worden gebruikt voor verdere planafwerking.";"True"
"Rails2RailwayCenterLine_Draw3DPolyline_CenterLine";"Teken een 2D polylijn voor de berekende spooras, deze lijn kan worden gebruikt voor verder spoorontwerp.";"True"
"Rails2RailwayCenterLine_DrawCenterline2DPoints";"Teken 2D punten op de spooras.";"False"
"Rails2RailwayCenterLine_DrawCenterline3DPoints";"Teken 3D punten op de spooras.";"True"
"Rails2RailwayCenterLine_LayerColorCenterline3DPoints";"Kleur van de laag waarin de 3D punten van de spooras worden uitgetekend.";"251"
"Rails2RailwayCenterLine_LayerColorOfCenterline3DPolyLine";"Kleur van de laag waarin de 3D polylijn van de spooras wordt uitgetekend.";"253"
"Rails2RailwayCenterLine_LayerNameCenterline";"Laagnaam waar in we de spooras zullen tekenen.";"811"
"Rails2RailwayCenterLine_LayerNameCenterLine3DPoints";"Laagnaam waar in we de 3D punten van de spooras zullen tekenen.";"811-Points"
"Rails2RailwayCenterLine_PathToCSVFile";"Dit is het UNC path waar het resultaat in CSV -bestand naar toe mag worden geschreven.";"c:\\Data\\track.Rails2RailwayCenterLine.csv"
"Rails2RailwayCenterLine_Use_CalculateSurveyCorrection";"Deze waarde wordt gebruikt om al dan niet een CalculateSurveyCorrection algoritme toe te passen alvorens het center van het spoor te berekenen.";"True"
"Rails2RailwayCenterLine_WriteResultToCSVFile";"Deze waarde wordt gebruikt om al dan niet het resultaat als CSV bestand need te schrijven.";"True"
"NumberDecimalSeperator_ForAllCSVFiles";"Deze waarde wordt gebruikt om de schrijfwijze van [een komma getal](https://en.wikipedia.org/wiki/Decimal_separator) te kunnen wijzigen. (comma of punt)";","
"PointsTo3DPolyline_MinimumPointDistance";"Deze waarde wordt gebruikt om de minimum afstand te bepalen die moet aanwezig zijn bij het maken van een nieuwe 3D polylijn. Dus m.a.w. zijn alle punten die dichter op elkaar liggen dan deze waarde niet meegenomen in de functie.";"0,005"
"PointsTo3DPolyline_MaximumPointDistance";"Deze waarde wordt gebruikt om de maximum afstand te bepalen die moet worden gerespecteerd voor het maken van de nieuwe 3D polylijn. Dus m.a.w. zijn alle punten die verder van elkaar liggen dan deze waarde niet meegenomen in de functie.";"0,5"
"JoinPolyline_DeleteSelectedEntities";"Met deze variabel kan je het verwijderen van de geselecteerde segmenten van de samen te voegen polylijnen aan of uitschakelen.";"False"
"DistanceBetween2Polylines_PathToCsvFile";"";""
"DistanceBetween2Polylines_CSVFile_Delimiter";"Deze waarde wordt gebruikt om de schrijfwijze van een komma getal te kunnen wijzigen. (comma of punt)";""
"DataValidation_LeftrailToRightRail_Tolerance";"We gebruiken deze variabel om te bepalen wanneer een gemeten spoorbreedte te klein is. De formule die we gebruiken is als volgt: `spoorwijdte < (1.435 - DataValidation_LeftrailToRightRail_Tolerance`. Als de stelling waar is geven we een fout en wordt de funcie gestopt. Deze datavalidatie gebeurt nadat er twee rails geselecteerd zijn. Met spoorwijdte bedoelen we hier de afstand tussen het opgemeten rechterrailpunt en het opgemeten linkerrailpunt.";"0,01"
"DataValidation_LeftrailToRightRail_Maximum";"We gebruiken deze variabel om te bepalen wanneer een gemeten spoorbreedte te groot is. De formule die we gebruiken is als volgt: `spoorwijdte > DataValidation_LeftrailToRightRail_Maximum`. Als de stelling waar is geven we een fout en wordt de funcie gestopt. Deze datavalidatie gebeurt nadat er twee rails geselecteerd zijn. Met spoorwijdte bedoelen we hier de afstand tussen het opgemeten rechterrailpunt en het opgemeten linkerrailpunt.";"1,52"
"CalculateSurveyCorrection_PathToCsvFile";"Dit is het UNC path waar het resultaat in CSV -bestand naar toe mag worden geschreven.";"c:\\Data\\track.CalculateSurveyCorrection.csv"
"CalculateSurveyCorrection_MinimumCantValue";"De minimumwaarde die wordt aanvaard voor het rekeninhouden met een toegepaste verkanting. Wanneer een verkantingswaarde lager is dan deze waarde dan wordt er geen rekening mee gehouden in de applicatie.";"0,001"
"CalculateSurveyCorrection_LayerNamePolylines_Rails";"Laagnaam waar in we de rails zullen tekenen.";"IAMTopo_CalculateSurveyCorrection_Rail"
"CalculateSurveyCorrection_LayerNamePoints_Rails";"Laagnaam waarin we de punten van de rails zullen tekenen.";"IAMTopo_CalculateSurveyCorrection_Rail-Points"
"CalculateSurveyCorrection_LayerColorPolyline_Rails";"Kleur die wordt toegewezen aan de laag waarin we de rails zullen tekenen.";"110"
"CalculateSurveyCorrection_LayerColorPoints_Rails";"Kleur die wordt toegewezen aan de laag waarin we de punten van de rails zullen tekenen.";"115"
"CalculateSurveyCorrection_Draw3DPolyline_Rails";"Teken de rails uit als 3DPolylijn.";"True"
"CalculateSurveyCorrection_Draw3DPoints_Rails";"Teken de 3D-punten van de rails uit.";"True"
"CalculateSurveyCorrection_CSVFile_Delimiter";"Deze waarde wordt gebruikt om de schrijfwijze van een komma getal te kunnen wijzigen. (comma of punt)";""
"LayerNamePrefix_2DObjects";"Alle 2D-entiteiten die door deze plugin worden aangemaakt, hebben de laagnaam voorafgegaan door deze waarde.";"2D\_"
"LayerNamePrefix_3DObjects";"Alle 3D-entiteiten die door deze plugin worden aangemaakt, hebben de laagnaam voorafgegaan door deze waarde.";"3D\_"
"WeedPolyline_MinDistance";"Een punt zal worden gecreëerd om de X aantal meter.";"5"
"SYMPPL_HIGH_PRICISION";"Gebruikt door het SimplifyPolyline commando, hier kan worden gewisseld van een accuraat traag algoritme, naar een sneller minder accuraat algoritme.";"True"
"SYMPPL_TOLERANCE";"Dit is de maximale afwijking die wordt toegestaan bij het heropbouwen van een polylijn.";"0,005"
"__APP_EPSILON__";"Dit is een varaibele voor intern gebruik. This value **is used internally** to compare doubles, it represents the precision of the calculations\*\*. It can not be altered at runtime\*\*, if changes are needed, they should be implemented by the developer.";"1E-06"